O=C1C=C(Oc2c(O)c(O)ccc12)c3ccccc3,COCYGNDCWFKTMF-UHFFFAOYSA-N
Nc1ncnc2c1nc(Br)n2[C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O {A11=R;A13=R;A20=S;A21=R},DVKQVRZMKBDMDH-UUOKFMHZSA-N
Nc1ncnc2c1nc(Cl)n2C3O[C@H](CO)[C@@H](O)[C@H]3O {A13=R;A16=S;A18=R},MHDPPLULTMGBSI-LZGMGDPASA-N
COc1ccc2c(c1)nccc2NC(=O)Nc3cccc(n3)C(F)(F)F,VQPBIJGXSXEOCU-UHFFFAOYSA-N
COc1cc2c(cc1OCCCN3CCCC3)N=C(N)C24CCC4,BKCDJTRMYWSXMC-UHFFFAOYSA-N
CN1CCN(CC1)[C@H]2CC[C@@H](CC2)n3cc(c4c3ncnc4N)c5ccc(cc5)Oc6ccccc6,FDVSOQRNTAPCHB-YHBQERECSA-N
CCN1C(=O)c2cc(C(N)=O)c(N)nc2N(C1=O)C3CC3,HWODCHXORCTEGU-UHFFFAOYSA-N
Cc1cccc(n1)c2nn(cc2c3ccnc4ccccc34)C(=S)Nc5ccccc5,HIJMSZGHKQPPJS-UHFFFAOYSA-N
Cc1ccnn1c2ccc(cc2)C(=O)N3CCN(CC3)S(=O)(=O)c4ccc(Cl)c(c4)C(F)(F)F,QFYLTUDRXBNZFQ-UHFFFAOYSA-N
Cc1n[nH]c2ccc(cc12)c3cncc(c3)OC[C@@H](N)Cc4ccccc4 {A18=S},BPNUQXPIQBZCMR-IBGZPJMESA-N
CC(C)C1=CC2=CCC3[C@](C)(CCC[C@]3(C)C2CC1)C(=O)O {A9=S;A14=R},RSWGJHLUYNHPMX-TZJYRCSTSA-N
Nn1nnc2ccccc12,JCXKHYLLVKZPKE-UHFFFAOYSA-N
COc1ccc(cc1)S(=O)(=O)Nc2cccnc2Nc3ccc(O)cc3,URCVCIZFVQDVPM-UHFFFAOYSA-N
CCN1C(C)(C)CC(CC1(C)C)Oc2ccc(nc2)C(=O)Nc3ccc(cc3)NC(=O)Nc4cc(on4)C(C)(C)C,JVCWPUFNLFSKFS-UHFFFAOYSA-N
CC#CC(=O)N1CCC[C@H]1c2nc(c3c(N)nccn23)c4ccc(cc4)C(=O)Nc5ccccn5 {A9=S},WDENQIQQYWYTPO-IBGZPJMESA-N
CC(=O)NCCCS(=O)(=O)O,AFCGFAGUEYAMAO-UHFFFAOYSA-N
CC(=O)Nc1nnc(s1)S(N)(=O)=O,BZKPWHYZMXOIDC-UHFFFAOYSA-N
CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2,VGZSUPCWNCWDAN-UHFFFAOYSA-N
CC(=O)OCC[N+](C)(C)C,OIPILFWXSMYKGL-UHFFFAOYSA-N
N#Cc1c(N)nc(cc1C2CCNCC2)c3c(O)cccc3OCC4CC4,DYVFBWXIOCLHPP-UHFFFAOYSA-N
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,IHUNBGSDBOWDMA-AQFIFDHZSA-N
CCN1C[C@@]2(COC)C3[C@@H](OC)[C@H]4[C@H]1C3([C@@H]5C[C@]6(O)[C@@H](OC)[C@H](O)[C@@]4(OC(C)=O)[C@H]5[C@H]6OC(=O)c7ccccc7)[C@@H](C[C@H]2O)OC {A4=R;A9=R;A12=R;A13=R;A15=R;A17=R;A19=S;A22=S;A24=R;A29=R;A30=R;A40=R;A42=R},XFSBVAOIAHNAPC-WSORPINJSA-N
Cc1ccc(cc1)C(=C/CN2CCCC2)/c3cccc(/C=C/C(=O)O)n3,PWACSDKDOHSSQD-MUUKASMTSA-N
COc1ccc(cc1C23CC4CC(CC(C4)C2)C3)c5ccc6cc(ccc6c5)C(=O)O,LZCDAPDGXCYOEH-UHFFFAOYSA-N
O=C(OC12CC3CC(CC(C3)C1)C2)c4ccc(cc4)NCc5cc(O)ccc5O,YJZSUCFGHXQWDM-UHFFFAOYSA-N
Nc1ncnc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O {A10=R;A12=R;A15=S;A17=R},OIRDTQYFTABQOQ-KQYNXXCUSA-N
